LAST NAME,FIRST NAME,DOB,POB,SSN,SEX,STREET NUMBER,STREET NAME,VOTER REG DATE,PARTY 
SMITH,Alex,1917/1/5,Alderwood,970-18-7974,MALE,1355,ANGORA,1935/1/1,DEMOCRAT
JOHNSON,Bonnie,1916/1/7,Alderwood,228-59-7899,FEMALE,1773,SECOND,1935/1/2,DEMOCRAT
WILLIAMS,Charley,1913/2/7,Utah,176-01-4411,MALE,155,BRITTANY,1935/1/3,DEMOCRAT
JONES,Danielle,1915/11/5,Alderwood,624-29-3132,FEMALE,13,COLLIE,1935/1/4,DEMOCRAT
BROWN,Earl,1916/1/10,PENNSYLVANIA,882-79-8502,MALE,671,SAGUARO,1935/1/5,REPUBLICAN
DAVIS,Frances,1914/6/25,Alderwood,300-35-7744,MALE,392,CORNISH,1935/1/6,REPUBLICAN
MILLER,Gaston,8-Apr-34,Oregon,894-63-4526,MALE,37,EIGHTEENTH,1935/1/7,REPUBLICAN
WILSON,Hermine,1917/1/12,NEW HAMPSHIRE,881-69-6163,FEMALE,350,FOXGLOVE,1935/1/8,REPUBLICAN
MOORE,Ivan,1914/6/28,KENTUCKY,587-21-5613,MALE,219,FIFTEENTH,1935/1/9,REPUBLICAN
TAYLOR,Jeanne,1913/2/14,Alderwood,742-42-4294,FEMALE,644,DOGWOOD,1935/1/10,REPUBLICAN
AABERG,Karl,1915/11/12,Alderwood,913-29-2598,MALE,591,BLACKBERRY,1935/1/11,REPUBLICAN
ABBOTT,Lisa,1913/2/16,Alderwood,935-38-7025,FEMALE,1456,KEESHOND,1935/1/12,INDEPENDENT
ACE,Matthew,1913/2/17,Alderwood,281-95-7520,MALE,1113,BOXWOOD,1935/1/13,DEMOCRAT
ACKERMAN,Nicole,1915/11/15,Alderwood,904-24-1973,FEMALE,1337,BORZOI,1935/1/14,DEMOCRAT
ADAMS,Otto,1913/2/19,Utah,179-13-8618,MALE,181,SWEET PEA,1935/1/15,DEMOCRAT
ADDLEMAN,Paula,1910/5/27,NORTH CAROLINA,486-74-4181,FEMALE,186,MARIGOLD,1935/1/16,DEMOCRAT
ADKINS,Richard,1911/10/10,Alderwood,856-14-8308,MALE,3031,DOGWOOD,1935/1/17,DEMOCRAT
ALEXANDER,Shary,1913/2/22,Utah,470-68-8153,FEMALE,1060,BARREL,1935/1/18,REPUBLICAN
AKER,Tomas,1913/2/23,Idaho,196-51-7071,MALE,230,LABRADOR,1935/1/19,REPUBLICAN
ALLEN,VirginiA,1915/11/21,California,220-14-5306,FEMALE,245,BLACKBERRY,1935/1/20,REPUBLICAN
ALLWINE,Walter,1913/2/25,Montana,782-72-5402,MALE,4,POODLE,1935/1/21,REPUBLICAN
AMAN,Arlene,1977/5/1,ARIZONA,626-91-5598,FEMALE,130,JAVANESE,1935/1/22,REPUBLICAN
BACHELOR,Bret,1914/7/12,Washington,579-86-3368,MALE,883,SPRUCE,1935/1/23,REPUBLICAN
BACON,Cindy,1915/11/25,Alderwood,301-19-4781,FEMALE,2051,CRANBERRY,1935/1/24,REPUBLICAN
BAER,Dennis,1914/7/14,NEBRASKA,767-26-6777,MALE,552,PANSY,1935/1/25,INDEPENDENT
BAILEY,Emily,1915/11/27,Alderwood,272-45-9421,FEMALE,1001,CORNISH,1935/1/26,DEMOCRAT
BAKER,Franklin,1914/7/16,Washington,074-30-3906,MALE,265,AFGHAN,1935/1/27,DEMOCRAT
WHITFORD,Gert,8-Apr-34,Alderwood,183-12-6473,FEMALE,547,SOMALI,1935/1/28,DEMOCRAT
MILLER,Harvey,1913/3/5,Washington,526-34-6730,MALE,98,PHEASANT,1935/1/29,DEMOCRAT
BECKER,Irene,1913/3/6,MEXICO,551-53-5757,FEMALE,314,BITTERSWEET,1935/1/30,DEMOCRAT
BRAGG,Jose,1947/3/31,Alderwood,804-46-7841,MALE,1330,BARREL,1935/1/31,REPUBLICAN
